function,starting point,cma error,bcma error
Rastrigin,[-20 -20],135.7231626,48.39147463
,[-10 -10],31.30710506,12.3484116
,[-5 -5],11.48731088,4.811142009
,[5 5],10.59718412,5.22616466
,[10 10],30.30977299,13.18881438
,[20 20],131.383399,52.11198731
Sphere,[-20 -20],116.6046818,40.54120843
,[-10 -10],20.78470052,6.91677794
,[-5 -5],3.358739411,1.240373414
,[5 5],3.085943051,1.345044027
,[10 10],20.0231907,7.620709666
,[20 20],115.640127,43.96536955
Schwefel1,[-400 -400],618.6667883,409.0471098
,[-200 -200],704.5585975,388.254242
,[-100 -100],614.7681413,312.3525195
,[100 100],734.4874993,256.6211055
,[200 200],434.4819618,365.3672393
,[400 400],16.10587663,5.68470769
Schwefel2,[-20 -20],63.10642887,23.18060562
,[-10 -10],12.84767053,4.575441297
,[-5 -5],2.680260585,1.138428402
,[5 5],2.329334653,1.14560155
,[10 10],12.15026687,4.76170646
,[20 20],60.96005004,24.52436892
